class_name,category,sampling_category,eligible,review_required,exclusion_reasons,review_reasons,overflow_risk,has_if,has_loop,estimated_loop_depth,has_array,has_recursion,method_count
WordLen,branch,branch,False,False,uses Java strings; declares boxed primitive values,,possible,True,False,0,False,False,1
CountSamepair,multi_path_loop,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
ExtractNthElement,single_path_loop,single_path_loop,False,False,uses Object values; creates Java objects,,possible,False,True,1,True,False,1
AddTuple,sequential,sequential,True,False,,,possible,False,False,0,True,False,1
NextPowerOf2,single_path_loop,single_path_loop,True,True,,check bitwise and shift translation,low,True,True,1,False,False,1
CheckOccurences,single_path_loop,single_path_loop,False,False,uses Java strings; uses Java collections,,possible,False,True,1,True,False,0
SampleNam,multi_path_loop,multi_path_loop,False,True,uses Java strings,review nontrivial loop control,possible,True,True,1,True,False,1
SquarePerimeter,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
FindSubstring,multi_path_loop,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,low,True,True,1,True,False,1
MaxDifference,multi_path_loop,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
Maxaverageofpath,nested,nested,False,True,declares boxed primitive values,review floating-point semantics; check the corresponding C math-library operation,possible,False,True,2,True,False,1
RemoveDuplicList,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Java collections; creates Java objects,,low,True,True,1,True,False,1
ParabolaVertex,sequential,sequential,True,True,,review floating-point semantics,possible,False,False,0,True,False,1
AreaTetrahedron,sequential,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,False,False,0,False,False,1
ExtractMax,multi_path_loop,multi_path_loop,False,False,uses Java strings,,low,True,True,1,True,False,1
AdjacentNumProduct,multi_path_loop,multi_path_loop,False,False,uses Java exceptions; creates Java objects,,possible,True,True,1,True,False,1
RepeatTuples,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
DecimalToBinary,single_path_loop,single_path_loop,False,False,uses Java strings,,possible,False,True,1,False,False,1
PalindromeLambda,multi_path_loop,recursive,False,True,uses Java strings; creates Java objects,review helper-method translation,possible,True,True,1,True,True,2
CountDivisors,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
LateralsufaceCylinder,sequential,sequential,False,True,declares boxed primitive values,review floating-point semantics,possible,False,False,0,False,False,1
CatalanNumber,nested,nested,True,False,,,possible,False,True,2,True,False,1
DictFilter,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Java collections,,low,True,True,1,False,False,0
CountWithOddSetbits,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
CountSubstrings,nested,nested,False,False,uses Java strings,,possible,True,True,2,False,False,1
PerimeterPolygon,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,False,False,1
Divisor,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
ParallelogramArea,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
StringToTuple,multi_path_loop,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,True,False,1
LenComplex,sequential,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,False,False,0,False,False,1
DifferAtOneBitPos,sequential,sequential,False,True,declares boxed primitive values,check bitwise and shift translation,possible,False,False,0,False,False,1
TupleIntStr,nested,nested,False,False,uses Java strings,,possible,False,True,2,True,False,1
FindMaxLenEven,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,True,False,1
DegreeRadian,sequential,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,False,False,0,False,False,1
TnGp,sequential,recursive,True,False,,,possible,False,False,0,False,True,1
ReplaceChar,multi_path_loop,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,False,False,1
ModularInverse,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
AddNestedTuples,nested,nested,True,False,,,possible,False,True,2,True,False,1
ListTuple,sequential,sequential,True,False,,,low,False,False,0,True,False,1
NoOfCubes,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
CountOddSquares,multi_path_loop,multi_path_loop,True,True,,review floating-point semantics; check the corresponding C math-library operation,possible,True,True,1,False,False,1
DifSquare,multi_path_loop,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,False,False,1
TupleStrInt,single_path_loop,single_path_loop,False,False,uses Java strings,,possible,False,True,1,True,False,1
EmptyList,single_path_loop,single_path_loop,False,False,uses Java collections; uses Object values; creates Java objects,,possible,False,True,1,True,False,0
FindKth,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
TextMatchWordzMiddle,branch,branch,False,False,uses Java strings,,possible,True,False,0,False,False,1
SnakeToCamel,single_path_loop,single_path_loop,False,False,uses Java strings; creates Java objects,,possible,False,True,1,True,False,1
GetPell,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
CheckK,multi_path_loop,multi_path_loop,False,False,declares boxed primitive values,,low,True,True,1,True,False,1
TestThreeEqual,branch,branch,True,False,,,low,True,False,0,False,False,1
PositionMin,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
IsSumOfPowersOfTwo,branch,recursive,False,True,declares boxed primitive values,check bitwise and shift translation,possible,True,False,0,False,True,1
IsSamepatterns,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Java collections; declares boxed primitive values,,possible,True,True,1,True,False,1
Sequence,branch,recursive,True,False,,,possible,True,False,0,False,True,1
MaximumSum,nested,nested,True,False,,,possible,True,True,2,True,False,1
VolumeCone,sequential,sequential,False,True,declares boxed primitive values,review floating-point semantics; check the corresponding C math-library operation,possible,False,False,0,False,False,1
OddNumSum,single_path_loop,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
LongestCommonSubsequence,nested,nested,False,True,uses Java strings,check the corresponding C math-library operation,possible,True,True,2,True,False,1
TupleToInt,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
KthElement,branch,branch,True,False,,,possible,True,False,0,True,False,1
CheckConsecutive,multi_path_loop,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,True,False,1
ListifyList,single_path_loop,single_path_loop,False,False,uses Java strings; creates Java objects,,possible,False,True,1,True,False,1
RemoveNested,nested,nested,False,False,uses Object values,,possible,True,True,2,True,False,1
GetCoordinates,nested,nested,True,False,,,possible,False,True,2,True,False,1
FindPeak,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountAlphaDigSpl,multi_path_loop,multi_path_loop,False,True,uses Java strings; uses Java collections,review nontrivial loop control,possible,True,True,1,False,False,0
OddPosition,multi_path_loop,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,True,False,1
SumPositivenum,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountInteger,multi_path_loop,multi_path_loop,False,False,uses Object values,,possible,True,True,1,True,False,1
IsNumDecagonal,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
ProdSquare,multi_path_loop,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,False,False,1
MedianNumbers,sequential,sequential,False,True,declares boxed primitive values,review floating-point semantics,possible,False,False,0,True,False,1
PermutationCoefficient,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,False,False,1
FindMinDiff,nested,nested,True,True,,check the corresponding C math-library operation,possible,True,True,2,True,False,1
SearchLiteral,branch,branch,False,False,uses Java strings,,possible,True,False,0,True,False,1
RemoveEven,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SqrtRoot,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
MultipleSplit,multi_path_loop,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,True,False,1
CountRectangles,nested,nested,True,False,,,possible,True,True,2,False,False,1
EulerianNum,branch,recursive,True,False,,,possible,True,False,0,False,True,1
AreaPentagon,sequential,sequential,False,True,declares boxed primitive values,review floating-point semantics; check the corresponding C math-library operation,possible,False,False,0,False,False,1
AddPairwise,single_path_loop,single_path_loop,True,False,,,possible,True,True,1,True,False,1
PerimeterPentagon,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
FindMaxLength,nested,nested,True,True,,review nontrivial loop control,possible,True,True,2,True,False,1
SumThreeSmallestNums,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
MergeDictionariesThree,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Java collections,,low,True,True,1,False,False,0
ChangeDateFormat,sequential,sequential,False,False,uses Java strings,,possible,False,False,0,True,False,1
CheckValidity,branch,branch,False,False,declares boxed primitive values,,possible,True,False,0,False,False,1
TextMatch,branch,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
IsSubArray,nested,nested,False,True,declares boxed primitive values,review nontrivial loop control,possible,True,True,2,True,False,1
TextUppercaseLowercase,multi_path_loop,multi_path_loop,False,True,uses Java strings,review nontrivial loop control,possible,True,True,1,False,False,1
TnAp,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
UniqueElement,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,True,False,1
ReverseStringList,single_path_loop,single_path_loop,False,False,uses Java strings; creates Java objects,,possible,False,True,1,True,False,1
FindRemainder,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
SdCalc,single_path_loop,single_path_loop,False,True,declares boxed primitive values,review floating-point semantics; check the corresponding C math-library operation,possible,False,True,1,True,False,1
StringListToTuple,single_path_loop,single_path_loop,False,False,uses Java strings; creates Java objects,,possible,False,True,1,True,False,1
CheckString,branch,branch,False,False,uses Java strings; declares boxed primitive values,,low,True,False,0,False,False,1
CountPrimesNums,nested,nested,True,False,,,possible,True,True,2,True,False,1
AverageOdd,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
MostOccurrences,nested,nested,False,False,uses Java strings; uses Java collections,,possible,True,True,2,True,False,1
ColonTuplex,sequential,sequential,False,False,uses Object values; creates Java objects,,low,False,False,0,True,False,1
TriangleArea,branch,branch,True,True,,check the corresponding C math-library operation,possible,True,False,0,False,False,1
MoveFirst,branch,branch,True,False,,,possible,True,False,0,True,False,1
CountOdd,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
FindPlatform,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
MaximumSegments,multi_path_loop,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
SeriesSum,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,False,False,1
MaxOfTwo,sequential,sequential,True,False,,,low,False,False,0,False,False,1
SumOfAlternates,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
NthItems,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
FindAngle,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
FindElement,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SumOfSubarrayProd,nested,nested,True,False,,,possible,False,True,2,True,False,1
Convert,sequential,sequential,False,False,uses Java strings,,low,False,False,0,True,False,1
CheckMinHeap,branch,recursive,False,False,declares boxed primitive values,,possible,True,False,0,True,True,1
ReplaceSpecialchar,single_path_loop,single_path_loop,False,False,uses Java strings,,possible,False,True,1,True,False,1
RecursiveListSum,multi_path_loop,recursive,False,False,uses Object values,,possible,True,True,1,True,True,1
MaxProductTuple,nested,nested,True,False,,,possible,True,True,2,True,False,1
CheckAlphanumeric,sequential,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
BigSum,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CheckPermutation,multi_path_loop,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,True,False,1
SmallestMultiple,nested,nested,True,True,,review nontrivial loop control,possible,True,True,2,True,False,1
SumList,single_path_loop,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,True,False,1
MoveNum,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,True,False,1
TestDuplicate,multi_path_loop,multi_path_loop,False,False,uses Java collections; declares boxed primitive values,,low,True,True,1,True,False,1
Check,single_path_loop,single_path_loop,False,False,declares boxed primitive values,,possible,False,True,1,False,False,1
Chklist,multi_path_loop,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,True,False,1
TupleModulo,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
IssortList,multi_path_loop,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,True,False,1
NcrModP,single_path_loop,single_path_loop,True,False,,,possible,True,True,1,False,False,1
SumOfSeries,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,False,False,1
IsValidParenthese,multi_path_loop,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,False,False,1
TextMatchString,branch,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
ParallelogramPerimeter,branch,branch,True,False,,,possible,True,False,0,False,False,1
CheckConcat,multi_path_loop,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,False,False,1
FindLastOccurrence,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
IsWoodall,multi_path_loop,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,False,False,1
SumNum,single_path_loop,single_path_loop,False,True,declares boxed primitive values,review floating-point semantics,possible,False,True,1,True,False,1
LargeProduct,nested,nested,False,False,uses Java collections,,possible,False,True,2,False,False,0
CountPairs,nested,nested,True,False,,,possible,True,True,2,True,False,1
ExchangeElements,single_path_loop,single_path_loop,True,False,,,possible,True,True,1,True,False,1
CountOccurance,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
CheckMonthnumbNumber,branch,branch,False,False,declares boxed primitive values,,low,True,False,0,False,False,1
FindFirstOccurrence,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountCharPosition,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
CheckEvenParity,sequential,sequential,False,False,declares boxed primitive values,,possible,False,False,0,False,False,1
HexagonalNum,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
TopbottomSurfacearea,sequential,sequential,False,True,declares boxed primitive values,review floating-point semantics,possible,False,False,0,False,False,1
RectanglePerimeter,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
FindAdverbPosition,nested,nested,False,False,uses Java strings; uses Java collections; uses Object values,,possible,True,True,2,False,False,0
StringLength,sequential,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
MaxSubarrayProduct,multi_path_loop,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
NegNos,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
FindRotationCount,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
IsDecimal,sequential,sequential,False,False,uses Java strings; declares boxed primitive values,,low,False,False,0,False,False,1
CheckMonthnumb,branch,branch,False,False,uses Java strings; declares boxed primitive values,,low,True,False,0,False,False,1
TextMatchTwoThree,branch,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
BinarySearch,multi_path_loop,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,True,False,1
OctalToDecimal,single_path_loop,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
SplitArr,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
CountSubstringWithEqualEnds,single_path_loop,single_path_loop,False,False,uses Java strings,,possible,False,True,1,True,False,1
DecimalToOctal,single_path_loop,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
OddBitSetNumber,sequential,sequential,True,True,,check bitwise and shift translation,low,False,False,0,False,False,1
FillSpaces,sequential,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
RemoveOcc,multi_path_loop,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,False,False,1
AsciiValueString,single_path_loop,single_path_loop,False,False,uses Java strings,,possible,False,True,1,False,False,1
ZipTuples,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
MaximumValue,multi_path_loop,recursive,False,True,uses Java strings; uses Object values; creates Java objects,review helper-method translation,possible,True,True,1,True,True,2
MaxChar,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Java collections,,possible,True,True,1,False,False,1
AndTuples,single_path_loop,single_path_loop,False,True,uses Java collections,check bitwise and shift translation,possible,False,True,1,False,False,0
FindChar,multi_path_loop,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,True,False,1
RemoveWords,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Java collections; creates Java objects,,low,True,True,1,True,False,1
ShellSort,nested,nested,True,False,,,possible,False,True,2,True,False,1
StartWithp,multi_path_loop,multi_path_loop,False,False,uses Java strings,,low,True,True,1,True,False,1
PancakeSort,sequential,recursive,True,True,,review helper-method translation,possible,True,True,1,True,True,2
ApSum,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,False,False,1
CheckInteger,sequential,sequential,False,False,uses Java strings; declares boxed primitive values; uses Java exceptions,,low,False,False,0,False,False,1
FloorMax,sequential,sequential,True,True,,check the corresponding C math-library operation,possible,False,False,0,False,False,1
CountVariable,single_path_loop,single_path_loop,False,True,uses Java strings; creates Java objects,check the corresponding C math-library operation,possible,False,True,1,True,False,1
RemoveSpaces,sequential,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
ExtractFreq,nested,nested,False,False,uses Java collections,,possible,False,True,2,True,False,1
ExtractMinMax,branch,branch,True,False,,,possible,True,False,0,True,False,1
IsLower,sequential,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
PositionMax,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SumEvenAndEvenIndex,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SequentialSearch,single_path_loop,single_path_loop,False,False,uses Object values; creates Java objects,,possible,True,True,1,True,False,1
SmallNnum,sequential,sequential,True,False,,,low,False,False,0,True,False,1
IsOctagonal,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
DiffConsecutivenums,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
NumberOfSubstrings,nested,nested,False,False,uses Java strings,,possible,True,True,2,False,False,1
TupleToSet,single_path_loop,single_path_loop,False,False,uses Java strings; uses Java collections,,low,False,True,1,True,False,0
ReverseArrayUptoK,single_path_loop,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,True,False,1
RomanToInt,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Java collections,,possible,True,True,1,False,False,1
UniqueProduct,multi_path_loop,multi_path_loop,False,False,uses Java collections,,possible,True,True,1,True,False,1
CheckSolution,branch,branch,False,False,uses Java strings,,possible,True,False,0,False,False,1
NegCount,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
Frequency,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
IsTriangleexists,sequential,sequential,False,False,declares boxed primitive values,,possible,False,False,0,False,False,1
FindEvenPair,nested,nested,True,True,,check bitwise and shift translation,possible,True,True,2,True,False,1
SetLeftMostUnsetBit,multi_path_loop,multi_path_loop,True,True,,check bitwise and shift translation,possible,True,True,1,False,False,1
MaxRunUppercase,multi_path_loop,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
RombusArea,branch,branch,True,False,,,possible,True,False,0,False,False,1
RectangleArea,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
FirstNonRepeatingCharacter,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Java collections,,possible,True,True,1,False,False,1
Fibonacci,branch,recursive,True,False,,,possible,True,False,0,False,True,1
DiffEvenOdd,multi_path_loop,multi_path_loop,True,True,,review nontrivial loop control,possible,True,True,1,True,False,1
FloatSort,branch,branch,False,False,uses Java strings; uses streams or lambdas,,low,True,False,0,True,False,1
CapitalWordsSpaces,sequential,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
SumPairs,nested,nested,True,True,,check the corresponding C math-library operation,possible,False,True,2,True,False,1
CircleCircumference,sequential,sequential,False,False,declares boxed primitive values,,possible,False,False,0,False,False,1
SquareNums,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
RightInsertion,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountCharac,sequential,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
CheckExpression,multi_path_loop,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,False,False,1
RombusPerimeter,sequential,sequential,True,False,,,possible,False,False,0,False,False,1
LargNnum,single_path_loop,single_path_loop,True,False,,,possible,False,True,1,True,False,1
ClearTuple,sequential,sequential,False,False,uses Java collections; uses Object values,,low,False,False,0,False,False,0
CharFrequency,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Java collections,,possible,True,True,1,False,False,0
AddLists,sequential,sequential,True,False,,,possible,False,False,0,True,False,1
ConcatenateTuple,multi_path_loop,multi_path_loop,False,False,uses Java strings; uses Object values; creates Java objects,,possible,True,True,1,True,False,1
SumDifference,single_path_loop,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
IsProductEven,single_path_loop,single_path_loop,False,False,declares boxed primitive values,,possible,False,True,1,True,False,1
FifthPowerSum,single_path_loop,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
JoinTuples,multi_path_loop,multi_path_loop,False,False,uses streams or lambdas,,possible,True,True,1,True,False,1
GetMinSquares,nested,nested,True,True,,check the corresponding C math-library operation,possible,False,True,2,True,False,1
FindMissing,multi_path_loop,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
