class_name,category,eligible,review_required,exclusion_reasons,review_reasons,overflow_risk,has_if,has_loop,estimated_loop_depth,has_array,has_recursion,method_count
CountSubstrings,nested,False,False,uses Java strings,,possible,True,True,2,False,False,1
PerimeterPolygon,single_path_loop,True,False,,,possible,False,True,1,False,False,1
Divisor,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
ParallelogramArea,sequential,True,False,,,possible,False,False,0,False,False,1
StringToTuple,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,True,False,1
LenComplex,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,False,False,0,False,False,1
DifferAtOneBitPos,sequential,False,True,declares boxed primitive values,check bitwise and shift translation,possible,False,False,0,False,False,1
TupleIntStr,nested,False,False,uses Java strings,,possible,False,True,2,True,False,1
FindMaxLenEven,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,True,False,1
DegreeRadian,sequential,False,True,declares boxed primitive values,check the corresponding C math-library operation,possible,False,False,0,False,False,1
TnGp,sequential,True,False,,,possible,False,False,0,False,True,1
ReplaceChar,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,False,False,1
ModularInverse,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
AddNestedTuples,nested,True,False,,,possible,False,True,2,True,False,1
ListTuple,sequential,True,False,,,low,False,False,0,True,False,1
NoOfCubes,sequential,True,False,,,possible,False,False,0,False,False,1
CountOddSquares,multi_path_loop,True,True,,review floating-point semantics; check the corresponding C math-library operation,possible,True,True,1,False,False,1
DifSquare,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,False,False,1
TupleStrInt,single_path_loop,False,False,uses Java strings,,possible,False,True,1,True,False,1
EmptyList,single_path_loop,False,False,uses Java collections; uses Object values; creates Java objects,,possible,False,True,1,True,False,0
FindKth,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
TextMatchWordzMiddle,branch,False,False,uses Java strings,,possible,True,False,0,False,False,1
SnakeToCamel,single_path_loop,False,False,uses Java strings; creates Java objects,,possible,False,True,1,True,False,1
GetPell,single_path_loop,True,False,,,possible,False,True,1,True,False,1
CheckK,multi_path_loop,False,False,declares boxed primitive values,,low,True,True,1,True,False,1
TestThreeEqual,branch,True,False,,,low,True,False,0,False,False,1
PositionMin,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
IsSumOfPowersOfTwo,branch,False,True,declares boxed primitive values,check bitwise and shift translation,possible,True,False,0,False,True,1
IsSamepatterns,multi_path_loop,False,False,uses Java strings; uses Java collections; declares boxed primitive values,,possible,True,True,1,True,False,1
Sequence,branch,True,False,,,possible,True,False,0,False,True,1
MaximumSum,nested,True,False,,,possible,True,True,2,True,False,1
VolumeCone,sequential,False,True,declares boxed primitive values,review floating-point semantics; check the corresponding C math-library operation,possible,False,False,0,False,False,1
OddNumSum,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
LongestCommonSubsequence,nested,False,True,uses Java strings,check the corresponding C math-library operation,possible,True,True,2,True,False,1
TupleToInt,single_path_loop,True,False,,,possible,False,True,1,True,False,1
KthElement,branch,True,False,,,possible,True,False,0,True,False,1
CheckConsecutive,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,True,False,1
ListifyList,single_path_loop,False,False,uses Java strings; creates Java objects,,possible,False,True,1,True,False,1
RemoveNested,nested,False,False,uses Object values,,possible,True,True,2,True,False,1
GetCoordinates,nested,True,False,,,possible,False,True,2,True,False,1
FindPeak,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountAlphaDigSpl,multi_path_loop,False,True,uses Java strings; uses Java collections,review nontrivial loop control,possible,True,True,1,False,False,0
OddPosition,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,True,False,1
SumPositivenum,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountInteger,multi_path_loop,False,False,uses Object values,,possible,True,True,1,True,False,1
IsNumDecagonal,single_path_loop,True,False,,,possible,False,True,1,True,False,1
ProdSquare,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,False,False,1
MedianNumbers,sequential,False,True,declares boxed primitive values,review floating-point semantics,possible,False,False,0,True,False,1
PermutationCoefficient,single_path_loop,True,False,,,possible,False,True,1,False,False,1
FindMinDiff,nested,True,True,,check the corresponding C math-library operation,possible,True,True,2,True,False,1
SearchLiteral,branch,False,False,uses Java strings,,possible,True,False,0,True,False,1
RemoveEven,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SqrtRoot,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
MultipleSplit,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,True,False,1
CountRectangles,nested,True,False,,,possible,True,True,2,False,False,1
EulerianNum,branch,True,False,,,possible,True,False,0,False,True,1
AreaPentagon,sequential,False,True,declares boxed primitive values,review floating-point semantics; check the corresponding C math-library operation,possible,False,False,0,False,False,1
AddPairwise,single_path_loop,True,False,,,possible,True,True,1,True,False,1
PerimeterPentagon,sequential,True,False,,,possible,False,False,0,False,False,1
FindMaxLength,nested,True,True,,review nontrivial loop control,possible,True,True,2,True,False,1
SumThreeSmallestNums,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
MergeDictionariesThree,multi_path_loop,False,False,uses Java strings; uses Java collections,,low,True,True,1,False,False,0
ChangeDateFormat,sequential,False,False,uses Java strings,,possible,False,False,0,True,False,1
CheckValidity,branch,False,False,declares boxed primitive values,,possible,True,False,0,False,False,1
TextMatch,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
IsSubArray,nested,False,True,declares boxed primitive values,review nontrivial loop control,possible,True,True,2,True,False,1
TextUppercaseLowercase,multi_path_loop,False,True,uses Java strings,review nontrivial loop control,possible,True,True,1,False,False,1
TnAp,sequential,True,False,,,possible,False,False,0,False,False,1
UniqueElement,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,True,False,1
ReverseStringList,single_path_loop,False,False,uses Java strings; creates Java objects,,possible,False,True,1,True,False,1
FindRemainder,single_path_loop,True,False,,,possible,False,True,1,True,False,1
SdCalc,single_path_loop,False,True,declares boxed primitive values,review floating-point semantics; check the corresponding C math-library operation,possible,False,True,1,True,False,1
StringListToTuple,single_path_loop,False,False,uses Java strings; creates Java objects,,possible,False,True,1,True,False,1
CheckString,branch,False,False,uses Java strings; declares boxed primitive values,,low,True,False,0,False,False,1
CountPrimesNums,nested,True,False,,,possible,True,True,2,True,False,1
AverageOdd,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
MostOccurrences,nested,False,False,uses Java strings; uses Java collections,,possible,True,True,2,True,False,1
ColonTuplex,sequential,False,False,uses Object values; creates Java objects,,low,False,False,0,True,False,1
TriangleArea,branch,True,True,,check the corresponding C math-library operation,possible,True,False,0,False,False,1
MoveFirst,branch,True,False,,,possible,True,False,0,True,False,1
CountOdd,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
FindPlatform,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
MaximumSegments,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
SeriesSum,single_path_loop,True,False,,,possible,False,True,1,False,False,1
MaxOfTwo,sequential,True,False,,,low,False,False,0,False,False,1
SumOfAlternates,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
NthItems,single_path_loop,True,False,,,possible,False,True,1,True,False,1
FindAngle,sequential,True,False,,,possible,False,False,0,False,False,1
FindElement,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SumOfSubarrayProd,nested,True,False,,,possible,False,True,2,True,False,1
Convert,sequential,False,False,uses Java strings,,low,False,False,0,True,False,1
CheckMinHeap,branch,False,False,declares boxed primitive values,,possible,True,False,0,True,True,1
ReplaceSpecialchar,single_path_loop,False,False,uses Java strings,,possible,False,True,1,True,False,1
RecursiveListSum,multi_path_loop,False,False,uses Object values,,possible,True,True,1,True,True,1
MaxProductTuple,nested,True,False,,,possible,True,True,2,True,False,1
CheckAlphanumeric,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
BigSum,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CheckPermutation,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,True,False,1
SmallestMultiple,nested,True,True,,review nontrivial loop control,possible,True,True,2,True,False,1
SumList,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,True,False,1
MoveNum,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,True,False,1
TestDuplicate,multi_path_loop,False,False,uses Java collections; declares boxed primitive values,,low,True,True,1,True,False,1
Check,single_path_loop,False,False,declares boxed primitive values,,possible,False,True,1,False,False,1
Chklist,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,True,False,1
TupleModulo,single_path_loop,True,False,,,possible,False,True,1,True,False,1
IssortList,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,True,False,1
NcrModP,single_path_loop,True,False,,,possible,True,True,1,False,False,1
SumOfSeries,single_path_loop,True,False,,,possible,False,True,1,False,False,1
IsValidParenthese,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,False,False,1
TextMatchString,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
ParallelogramPerimeter,branch,True,False,,,possible,True,False,0,False,False,1
CheckConcat,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,False,False,1
FindLastOccurrence,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
IsWoodall,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,False,False,1
SumNum,single_path_loop,False,True,declares boxed primitive values,review floating-point semantics,possible,False,True,1,True,False,1
LargeProduct,nested,False,False,uses Java collections,,possible,False,True,2,False,False,0
CountPairs,nested,True,False,,,possible,True,True,2,True,False,1
ExchangeElements,single_path_loop,True,False,,,possible,True,True,1,True,False,1
CountOccurance,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
CheckMonthnumbNumber,branch,False,False,declares boxed primitive values,,low,True,False,0,False,False,1
FindFirstOccurrence,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountCharPosition,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
CheckEvenParity,sequential,False,False,declares boxed primitive values,,possible,False,False,0,False,False,1
HexagonalNum,sequential,True,False,,,possible,False,False,0,False,False,1
TopbottomSurfacearea,sequential,False,True,declares boxed primitive values,review floating-point semantics,possible,False,False,0,False,False,1
RectanglePerimeter,sequential,True,False,,,possible,False,False,0,False,False,1
FindAdverbPosition,nested,False,False,uses Java strings; uses Java collections; uses Object values,,possible,True,True,2,False,False,0
StringLength,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
MaxSubarrayProduct,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
NegNos,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
FindRotationCount,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
IsDecimal,sequential,False,False,uses Java strings; declares boxed primitive values,,low,False,False,0,False,False,1
CheckMonthnumb,branch,False,False,uses Java strings; declares boxed primitive values,,low,True,False,0,False,False,1
TextMatchTwoThree,branch,False,False,uses Java strings,,low,True,False,0,False,False,1
BinarySearch,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,True,False,1
OctalToDecimal,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
SplitArr,single_path_loop,True,False,,,possible,False,True,1,True,False,1
CountSubstringWithEqualEnds,single_path_loop,False,False,uses Java strings,,possible,False,True,1,True,False,1
DecimalToOctal,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
OddBitSetNumber,sequential,True,True,,check bitwise and shift translation,low,False,False,0,False,False,1
FillSpaces,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
RemoveOcc,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,False,False,1
AsciiValueString,single_path_loop,False,False,uses Java strings,,possible,False,True,1,False,False,1
ZipTuples,single_path_loop,True,False,,,possible,False,True,1,True,False,1
MaximumValue,multi_path_loop,False,True,uses Java strings; uses Object values; creates Java objects,review helper-method translation,possible,True,True,1,True,True,2
MaxChar,multi_path_loop,False,False,uses Java strings; uses Java collections,,possible,True,True,1,False,False,1
AndTuples,single_path_loop,False,True,uses Java collections,check bitwise and shift translation,possible,False,True,1,False,False,0
FindChar,multi_path_loop,False,False,uses Java strings; creates Java objects,,possible,True,True,1,True,False,1
RemoveWords,multi_path_loop,False,False,uses Java strings; uses Java collections; creates Java objects,,low,True,True,1,True,False,1
ShellSort,nested,True,False,,,possible,False,True,2,True,False,1
StartWithp,multi_path_loop,False,False,uses Java strings,,low,True,True,1,True,False,1
PancakeSort,sequential,True,True,,review helper-method translation,possible,True,True,1,True,True,2
ApSum,single_path_loop,True,False,,,possible,False,True,1,False,False,1
CheckInteger,sequential,False,False,uses Java strings; declares boxed primitive values; uses Java exceptions,,low,False,False,0,False,False,1
FloorMax,sequential,True,True,,check the corresponding C math-library operation,possible,False,False,0,False,False,1
CountVariable,single_path_loop,False,True,uses Java strings; creates Java objects,check the corresponding C math-library operation,possible,False,True,1,True,False,1
RemoveSpaces,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
ExtractFreq,nested,False,False,uses Java collections,,possible,False,True,2,True,False,1
ExtractMinMax,branch,True,False,,,possible,True,False,0,True,False,1
IsLower,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
PositionMax,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SumEvenAndEvenIndex,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
SequentialSearch,single_path_loop,False,False,uses Object values; creates Java objects,,possible,True,True,1,True,False,1
SmallNnum,sequential,True,False,,,low,False,False,0,True,False,1
IsOctagonal,single_path_loop,True,False,,,possible,False,True,1,True,False,1
DiffConsecutivenums,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
NumberOfSubstrings,nested,False,False,uses Java strings,,possible,True,True,2,False,False,1
TupleToSet,single_path_loop,False,False,uses Java strings; uses Java collections,,low,False,True,1,True,False,0
ReverseArrayUptoK,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,True,False,1
RomanToInt,multi_path_loop,False,False,uses Java strings; uses Java collections,,possible,True,True,1,False,False,1
UniqueProduct,multi_path_loop,False,False,uses Java collections,,possible,True,True,1,True,False,1
CheckSolution,branch,False,False,uses Java strings,,possible,True,False,0,False,False,1
NegCount,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
Frequency,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
IsTriangleexists,sequential,False,False,declares boxed primitive values,,possible,False,False,0,False,False,1
FindEvenPair,nested,True,True,,check bitwise and shift translation,possible,True,True,2,True,False,1
SetLeftMostUnsetBit,multi_path_loop,True,True,,check bitwise and shift translation,possible,True,True,1,False,False,1
MaxRunUppercase,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
RombusArea,branch,True,False,,,possible,True,False,0,False,False,1
RectangleArea,sequential,True,False,,,possible,False,False,0,False,False,1
FirstNonRepeatingCharacter,multi_path_loop,False,False,uses Java strings; uses Java collections,,possible,True,True,1,False,False,1
Fibonacci,branch,True,False,,,possible,True,False,0,False,True,1
DiffEvenOdd,multi_path_loop,True,True,,review nontrivial loop control,possible,True,True,1,True,False,1
FloatSort,branch,False,False,uses Java strings; uses streams or lambdas,,low,True,False,0,True,False,1
CapitalWordsSpaces,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
SumPairs,nested,True,True,,check the corresponding C math-library operation,possible,False,True,2,True,False,1
CircleCircumference,sequential,False,False,declares boxed primitive values,,possible,False,False,0,False,False,1
SquareNums,single_path_loop,True,False,,,possible,False,True,1,True,False,1
RightInsertion,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
CountCharac,sequential,False,False,uses Java strings,,low,False,False,0,False,False,1
CheckExpression,multi_path_loop,False,False,uses Java strings; declares boxed primitive values,,possible,True,True,1,False,False,1
RombusPerimeter,sequential,True,False,,,possible,False,False,0,False,False,1
LargNnum,single_path_loop,True,False,,,possible,False,True,1,True,False,1
ClearTuple,sequential,False,False,uses Java collections; uses Object values,,low,False,False,0,False,False,0
CharFrequency,multi_path_loop,False,False,uses Java strings; uses Java collections,,possible,True,True,1,False,False,0
AddLists,sequential,True,False,,,possible,False,False,0,True,False,1
ConcatenateTuple,multi_path_loop,False,False,uses Java strings; uses Object values; creates Java objects,,possible,True,True,1,True,False,1
SumDifference,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
IsProductEven,single_path_loop,False,False,declares boxed primitive values,,possible,False,True,1,True,False,1
FifthPowerSum,single_path_loop,True,True,,check the corresponding C math-library operation,possible,False,True,1,False,False,1
JoinTuples,multi_path_loop,False,False,uses streams or lambdas,,possible,True,True,1,True,False,1
GetMinSquares,nested,True,True,,check the corresponding C math-library operation,possible,False,True,2,True,False,1
FindMissing,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
VolumeCylinder,sequential,False,True,declares boxed primitive values,review floating-point semantics,possible,False,False,0,False,False,1
MultipleToSingle,single_path_loop,False,False,uses Java strings; creates Java objects,,low,False,True,1,True,False,1
ReOrder,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
MaxPathSum,nested,True,True,,check the corresponding C math-library operation,possible,False,True,2,True,False,1
EvenPosition,multi_path_loop,False,False,declares boxed primitive values,,possible,True,True,1,True,False,1
SumRangeList,single_path_loop,True,False,,,possible,False,True,1,True,False,1
Gcd,branch,True,False,,,possible,True,False,0,False,True,1
LeftRotate,nested,False,False,uses Java strings; creates Java objects,,possible,True,True,2,True,False,1
MergeDict,single_path_loop,False,False,uses Java strings; uses Java collections,,low,False,True,1,False,False,0
FirstDigit,single_path_loop,True,False,,,possible,False,True,1,False,False,1
Array3d,nested,False,False,uses Java strings; creates Java objects,,possible,False,True,2,True,False,1
LateralsurfaceCube,branch,True,False,,,possible,True,False,0,False,False,1
LargestNeg,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
BinaryToInteger,single_path_loop,False,True,uses Java strings,check bitwise and shift translation,possible,False,True,1,True,False,1
GetOddOccurrence,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
NumPosition,multi_path_loop,False,False,uses Java strings,,possible,True,True,1,False,False,1
Solve,nested,False,False,declares boxed primitive values,,possible,True,True,2,True,False,1
Smartnumber,branch,True,False,,,possible,True,False,0,False,True,1
ExtractRear,single_path_loop,False,False,uses Java strings; creates Java objects,,possible,False,True,1,True,False,1
FirstMissingPositive,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
BinomialProbability,single_path_loop,False,True,declares boxed primitive values,review floating-point semantics; check the corresponding C math-library operation,possible,False,True,1,False,False,1
MaxSumList,nested,True,False,,,possible,True,True,2,True,False,1
VolumeCube,sequential,True,False,,,possible,False,False,0,False,False,1
RemoveTuple,single_path_loop,False,False,uses Java collections; declares boxed primitive values,,possible,False,True,1,True,False,1
CheckEquilateral,branch,False,False,declares boxed primitive values,,low,True,False,0,False,False,1
FrequencyLists,nested,False,False,uses Java collections,,possible,False,True,2,True,False,0
MinDifference,multi_path_loop,True,True,,check the corresponding C math-library operation,possible,True,True,1,True,False,1
AsciiValue,branch,False,False,uses Java strings,,possible,True,False,0,False,False,1
FindMax,branch,True,True,,check the corresponding C math-library operation,possible,True,False,0,True,True,1
PassValidity,branch,False,False,uses Java strings; declares boxed primitive values,,low,True,False,0,False,False,1
FindFixedPoint,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
Lbs,nested,True,True,,check the corresponding C math-library operation,possible,True,True,2,True,False,1
LastDigit,sequential,True,False,,,possible,False,False,0,False,False,1
TetrahedralNumber,single_path_loop,False,True,declares boxed primitive values,review floating-point semantics,possible,False,True,1,True,False,1
SortedModels,sequential,False,False,uses Java strings; uses Java collections; uses streams or lambdas; uses Object values,,low,False,False,0,True,False,0
DivOfNums,multi_path_loop,True,False,,,possible,True,True,1,True,False,1
ReturnSum,single_path_loop,False,False,uses Java strings; uses Java collections,,possible,False,True,1,False,False,1
IsSublist,nested,False,True,declares boxed primitive values,review nontrivial loop control,possible,True,True,2,True,False,1
AverageTuple,nested,True,True,,review floating-point semantics,possible,False,True,2,True,False,1
ExtractElements,nested,False,True,uses Java collections,review nontrivial loop control,possible,True,True,2,True,False,1
FindDivisor,multi_path_loop,True,False,,,possible,True,True,1,False,False,1
